
May 10 13:02 [GB6J001115+144608_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8368.697  1.908465   530.899    -278.2   4.06098     122.8        0.
  164.8832  2.150741   16600.2    -7718.   3.92131     3977.        0.
  169.8955   2.14113   16662.1    -7782.   3.93235     3981.        0.

May 10 14:09 [GB6J134811+193520_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8317.917  1.315446   109.894    -83.54  0.638181     161.8        0.

May 10 14:09 [GB6J134811+193520_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8348.656  1.186964   5.41763    -4.564   1.81418     2.805        0.
  8348.634  1.264171    4.9753    -3.936   1.74773     2.674        0.
  8348.615   1.34321   4.54239    -3.382     1.679     2.542        0.
  8403.116  1.164188   6.68438    -5.742   1.41721     4.431        0.
  8403.136  1.097377   7.40554    -6.748   1.45941     4.767        0.
  8403.175  1.129297   7.13042    -6.314   1.31107     5.109        0.
  8317.531  1.191801   161.415    -135.4  0.741197     204.6        0.
  8317.607  1.176615   159.391    -135.5  0.765877     195.5        0.
  8323.048  1.163262   168.787    -145.1  0.770756     205.7        0.
   140.487  1.171068   6349.72    -5422.  0.750506     7948.        0.

May 10 14:14 [GB6J141212+062408_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
    8349.8  1.247531   4.60767    -3.693   1.35635     3.191        0.
  8349.794  1.282133    4.3828    -3.418   1.32389      3.11        0.
  8349.803  1.244263   4.63104    -3.722   1.35913     3.201        0.
  8349.817  1.202318   4.89955    -4.075   1.39849     3.291        0.
   8349.81  1.224046   4.75955    -3.888   1.37787     3.245        0.
  8349.917  1.276465   4.13586     -3.24   1.17538     3.306        0.
  8349.914  1.286509   4.06956    -3.163   1.16588     3.279        0.
  8349.882  1.337871   3.74812    -2.802   1.11726     3.152        0.
   8349.93  1.259249   4.24904    -3.374   1.19129     3.351        0.
  8349.996  1.168085   4.88807    -4.185   1.27205      3.61        0.
  8350.008  1.138924   5.13041    -4.505    1.2978     3.714        0.
  8350.062  1.100301   5.41265    -4.919   1.32909     3.826        0.
  8350.021  1.143999   5.06679    -4.429   1.29391     3.679        0.
  8349.985  1.229759   4.39557    -3.574    1.2167     3.394        0.
  8349.987   1.17935   4.80089    -4.071   1.26178     3.574        0.
  8349.889  1.327867   3.80944    -2.869   1.12675     3.176        0.
  8344.707  1.408543  -3.17156     2.252   -1.1109     2.682        0.
  8349.998  1.165025   4.90264    -4.208   1.27558     3.611        0.
  8294.253  1.236767   127.536    -103.1  0.492481     243.3        0.
  8350.559  1.168775    4.9607    -4.244  0.990394     4.705        0.
  8350.297  1.267845   3.89396    -3.071  0.940361      3.89        0.
  8285.382  1.212016   154.757    -127.7  0.498957     291.4        0.
  8292.491  1.152275    187.09    -162.4  0.558101     314.9        0.
  8350.605  1.159928     5.101    -4.398  0.990992     4.836        0.
  8291.922  1.142651   181.036    -158.4  0.575542     295.5        0.
  8299.149  1.179177   179.591    -152.3  0.523588     322.2        0.

May 10 14:20 [GB6J141212+062408_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8349.615  1.087396   6.35806    -5.847   1.87927     3.178        0.
  8349.622  1.062913   6.51524     -6.13   1.90254     3.217        0.
  8349.639 0.9983162   6.93837     -6.95   1.96284     3.321        0.
  8349.652 0.9453331   7.29945    -7.722   2.01203     3.408        0.
  8349.638  1.027678   6.73448    -6.553   1.94081      3.26        0.

May 10 14:23 [GB6J143023+420450_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8782.645   1.49061   15.0241    -10.08   2.32859     6.061        0.
  8839.087  1.197395   492.015    -410.9   1.12664     410.3        0.
  8827.643  1.158471   542.661    -468.4   1.15071      443.        0.
  8841.901  1.252637   479.205    -382.6    1.0546     426.9        0.
  8782.974    1.3945   17.0294    -12.21    2.2922     6.979        0.
   8783.04  1.368048   17.9199     -13.1   2.25893     7.452        0.
  8840.925  1.156866   547.602    -473.3   1.15132     446.8        0.
 -1747.606  1.413178   568.135     -402.   2.30848     231.2        0.
  72.91102  1.229024   16936.1   -13780.   1.07769    14763.        0.
 -28.69777  1.202894   16577.8   -13782.   1.12147    13887.        0.
  107.5791  1.207586   17236.9   -14274.   1.10176    14697.        0.
 -6.958944  1.209147   15992.3   -13226.   1.12138    13397.        0.
 -1161.974  1.025874    26471.   -25803.   1.29328    19229.        0.
  11.41166  1.112049   21882.4   -19678.   1.19865    17150.        0.
 -1286.413  1.119369   23542.2   -21032.   1.19824    18457.        0.
 -281.6742  1.247117   18044.9   -14469.   1.06962    15849.        0.
 -273.9107  1.152763   21222.9   -18410.   1.16183    17161.        0.
 -86.67394  1.151733   20471.3   -17774.   1.13286    16976.        0.
 -852.7644  1.111644   44274.5   -39828.  0.994195    41836.        0.
 -142.1965   1.14386   387.643    -338.9   2.18128      167.        0.
  1037.662  1.112228   36039.7   -32403.   1.16832    28979.        0.
 -700.5626  1.141936   24098.3   -21103.   1.17182    19319.        0.

May 10 14:29 [GB6J153533+025419_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   8237.97 0.6980877   437.454    -626.6  0.755928     543.7        0.
  8242.357 0.5576199   511.955    -918.1  0.903184     532.5        0.
  8348.727 0.4990135   10.0498    -20.14   3.02685     3.119        0.
  8348.717 0.4049819   10.7073    -26.44   3.10411      3.24        0.
  8348.738 0.0589762   13.3544    -226.4   3.36602     3.727        0.
  8245.621 -0.279217   1072.04     INDEF   1.75178     574.9        0.
  8249.884 0.0252647   1012.22   -40065.   1.43288     663.6        0.
  8348.778 -0.195518   16.7345     INDEF   3.00768     5.227        0.
  8348.779 -0.210804   17.0725     INDEF   2.98814     5.367        0.
  8348.776 -0.134181   15.6905     INDEF   3.03526     4.856        0.
  8348.742 0.7308306   8.09723    -11.08   2.42795     3.133        0.
  8348.746 0.6190741   8.83989    -14.28   2.52787     3.285        0.
  8348.747 0.5466546   9.34547     -17.1   2.59094     3.389        0.
   7593.59 -0.358764   6292.16     INDEF   1.83299     3225.        0.
  8204.763 -0.330182   1451.58     INDEF   1.78637     763.4        0.
  8231.705 0.8074685   328.967    -407.4  0.648344     476.7        0.
 -2397.554 0.6877929   63761.5   -92704.  0.702757    85236.        0.
 -3651.067 0.6971991   62731.7   -89977.   0.70778    83264.        0.
 -3009.156 0.6168923   76357.2  -123777.   0.79405    90338.        0.
 -3179.265 0.9270347   29692.6   -32030.   0.46876    59507.        0.
  -724.751 0.7802853    12819.   -16429.  0.676279    17807.        0.
   598.245 0.9437836    7292.1    -7726.  0.518563    13210.        0.
  4019.577 0.6799066   277.442    -408.1   1.96595     132.6        0.
  576.8221   1.02505   4321.54    -4216.  0.445727     9108.        0.
   62.6392  1.132418   3509.04    -3099.  0.337768     9760.        0.
  497.8668  1.018917   4407.55    -4326.  0.451805     9165.        0.
   8250.96   1.04632   124.701    -119.2   0.42016     278.8        0.

May 10 14:39 [GB6J164856+460341_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9845.988 2.403E-18 1.837E-15    -764.3 7.315E-18     235.9        0.
  9847.338 2.336E-18 1.885E-15    -807.2 7.356E-18     240.8        0.
  9844.402 2.385E-18 1.719E-15    -720.7 7.455E-18     216.6        0.
   9853.71 2.425E-18 1.838E-15    -757.8 7.282E-18     237.1        0.
  9838.761 2.827E-18 1.370E-15    -484.5 7.305E-18     176.1        0.
  9849.818 2.782E-18 1.403E-15    -504.1 7.291E-18     180.7        0.
  9844.314 4.507E-18 1.014E-15     -225. 5.397E-18     176.5        0.
  9846.692 3.999E-18 1.165E-15    -291.4 5.873E-18     186.4        0.
   9847.41 4.448E-18 9.877E-16    -222.1 5.532E-18     167.7        0.
  9846.272 4.578E-18 9.068E-16    -198.1 5.486E-18     155.3        0.
  9846.754 4.288E-18 9.665E-16    -225.4 5.818E-18     156.1        0.
  9849.073 3.798E-18 1.124E-15    -295.9 6.261E-18     168.6        0.
  9854.324 3.989E-18 1.044E-15    -261.6 6.103E-18     160.7        0.
 -87.12689 3.404E-18 3.551E-14   -10430. 6.736E-18     4952.        0.
 -32.37143 3.635E-18 4.380E-14   -12050. 6.240E-18     6594.        0.
  301.5279 3.377E-18 4.095E-14   -12125. 6.473E-18     5943.        0.

May 10 15:12 [GB6J001115+144608_spect.fits]: 
avg:      7.593  rms:     0.6858   snr:    11.07

May 10 16:10 [GB6J001115+144608_spect.fits]: 
avg:      7.776  rms:     0.4554   snr:    17.08
avg:      7.563  rms:     0.4247   snr:    17.81
avg:      7.582  rms:     0.4142   snr:    18.30
avg:      7.609  rms:     0.4402   snr:    17.29
avg:      7.621  rms:     0.4375   snr:    17.42

May 10 16:28 [GB6J083548+182519_spect.fits]: 
avg:     0.5099  rms:     0.3119   snr:     1.63
avg:     0.5484  rms:     0.2941   snr:     1.86
avg:     0.5576  rms:      0.289   snr:     1.93
avg:     0.6073  rms:     0.2691   snr:     2.26
avg:     0.6079  rms:     0.2702   snr:     2.25
avg:     0.6056  rms:     0.2758   snr:     2.20
avg:     0.6216  rms:     0.1694   snr:     3.67
avg:     0.5492  rms:     0.3699   snr:     1.48

May 10 16:46 [GB6J083945+511206_spect.fits]: 
avg:      3.778  rms:     0.5531   snr:     6.83
avg:      3.861  rms:     0.4664   snr:     8.28
avg:       3.85  rms:     0.4337   snr:     8.88
avg:      3.806  rms:      0.568   snr:     6.70
avg:      3.829  rms:     0.4287   snr:     8.93
avg:      3.919  rms:     0.7338   snr:     5.34
avg:      3.853  rms:     0.5054   snr:     7.62
avg:       3.79  rms:      0.516   snr:     7.35
avg:      3.831  rms:     0.5801   snr:     6.60

May 10 16:52 [GB6J102623+254255_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9478.334  1.071524    19.989    -18.65   5.43378     3.456        0.
  9478.243 0.4268596    25.344    -59.37    5.9417     4.007        0.
  9478.275 0.5804462   23.9997    -41.35   5.83476     3.864        0.
  9676.458  1.618096   305.377    -188.7   1.64821     174.1        0.
  9682.308  1.438505    400.89    -278.7   1.74379      216.        0.
  9478.359  1.260148   18.6395    -14.79   5.27451      3.32        0.
  9684.723  1.443013   399.331    -276.7   1.73187     216.6        0.
  9680.394  1.659261   293.503    -176.9     1.602     172.1        0.
avg:      1.854  rms:     0.3401   snr:     5.45
avg:       1.87  rms:     0.3519   snr:     5.31
avg:      1.869  rms:     0.3258   snr:     5.74
avg:      1.876  rms:     0.3381   snr:     5.55

May 10 16:57 [GB6J132512+112338_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8367.805   1.31276   718.402    -547.2   4.44451     151.8        0.
  8367.759  1.262838   750.863    -594.6   4.41273     159.9        0.
  8366.528  1.235618   776.803    -628.7   4.36191     167.3        0.
  8368.042  1.999307   505.516    -252.8   4.00458     118.6        0.
avg:      2.325  rms:     0.2166   snr:    10.73
avg:      2.329  rms:     0.2165   snr:    10.76
avg:      2.348  rms:     0.2008   snr:    11.69
avg:      2.326  rms:     0.2147   snr:    10.83
avg:      2.351  rms:      0.227   snr:    10.36

May 10 17:02 [GB6J134811+193520_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8348.971 0.6546509   9.69518    -14.81   2.12991     4.276        0.
  8348.868 0.7098293   9.05778    -12.76   2.11885     4.016        0.
  8310.572 -0.187451   742.706     INDEF   2.14918     324.6        0.
  8234.529 -0.088189   1784.94     INDEF   2.07154     809.5        0.
  8311.938 -0.182304   1087.35     INDEF   2.03306     502.4        0.
  8319.271 -0.116836   1877.76     INDEF   1.81163     973.7        0.
  8305.628 -0.059695   410.591     INDEF   2.07332      186.        0.
  8312.829 -0.211092   658.691     INDEF   2.16599     285.7        0.
  8307.889  0.133626   802.188    -6003.   1.77344     424.9        0.
  8314.584  -0.11003    755.32     INDEF   2.04761     346.5        0.

May 10 17:04 [GB6J134811+193520_spect.fits]: 
  8310.078 -0.380847   890.964     INDEF   2.32638     359.8        0.
  8348.648  1.228791   5.16921    -4.207   1.77863      2.73        0.
  8310.841 -0.378389   940.479     INDEF   2.31134     382.3        0.
  8311.738 -0.282508    827.94     INDEF   2.23168     348.5        0.
  8324.204 0.4364361   501.269    -1149.   1.48489     317.1        0.
avg:      1.589  rms:     0.3344   snr:     4.75
avg:      1.616  rms:     0.3169   snr:     5.10
avg:      1.648  rms:     0.2958   snr:     5.57
avg:      1.627  rms:     0.3054   snr:     5.33
avg:       1.63  rms:     0.2941   snr:     5.54
avg:      1.608  rms:     0.3384   snr:     4.75
avg:      1.596  rms:     0.3364   snr:     4.74
avg:      1.599  rms:     0.3413   snr:     4.68
avg:      1.548  rms:     0.3778   snr:     4.10
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8322.813 -0.084225   836.654     INDEF   2.00334     392.3        0.
  8315.572   1.33986   107.625    -80.33  0.606509     166.7        0.
  8313.829  1.311332   109.748    -83.69  0.650055     158.6        0.
  8319.366  1.260406   132.052    -104.8  0.673248     184.3        0.
  8317.721  1.363919   96.5871    -70.82  0.591146     153.5        0.
  8310.341  1.337824   102.832    -76.87  0.626012     154.3        0.
  8314.013  1.366857   93.8052    -68.63  0.598123     147.3        0.
  8311.135  1.366416   95.3779     -69.8  0.595491     150.5        0.
  8314.553  1.368649   93.3532    -68.21  0.595409     147.3        0.
  8316.249  1.357001   98.9043    -72.88  0.595226     156.1        0.

May 10 17:10 [GB6J134811+193520_spect.fits]: 
  8348.626  1.319795   4.66105    -3.532   1.69991     2.576        0.
  8348.617  1.338825   4.56532     -3.41   1.68278     2.549        0.
  8348.611  1.357002   4.46995    -3.294   1.66693     2.519        0.
  8343.869   1.43602  -4.80183     3.344  -1.63671     2.756        0.
  8343.859  1.511285   -5.2202     3.454  -1.71219     2.864        0.
  8319.998  1.393591   86.6219    -62.16  0.562759     144.6        0.
  8315.603  1.310673   108.438    -82.73  0.653239     155.9        0.
  8323.085   1.26674   123.781    -97.72  0.678218     171.5        0.
  8315.511  1.179169    155.12    -131.6  0.769048     189.5        0.
  8315.319  1.246251   135.939    -109.1  0.695081     183.7        0.

May 10 17:14 [GB6J141212+062408_spect.fits]: 
  8295.874 0.4044704   816.964    -2020.   1.28516     597.2        0.
  8350.097  1.385612   3.09778    -2.236  0.925916     3.143        0.
  8350.111  1.366108   3.22415     -2.36  0.944307     3.208        0.
   8350.14  1.267658    3.9812    -3.141   1.02737      3.64        0.
  8350.087  1.403209   2.98658    -2.128  0.909198     3.086        0.
  8346.747 0.6765353   572.937    -846.9  0.992412     542.4        0.
  8291.569 0.5268331    508.07    -964.4    1.2026     396.9        0.
   8344.64  1.430767  -2.93903     2.054 -0.957962     2.882        0.
  8350.293  1.157265   4.93396    -4.263   1.10796     4.183        0.
  8381.274   0.77974    471.44    -604.6  0.850573     520.7        0.
   8302.25 0.8228625   451.791     -549.  0.864195     491.1        0.
  8350.201  1.225577   4.30146     -3.51   1.06061      3.81        0.
  8310.493  1.420523    60.073    -42.29  0.303354      186.        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  7171.175   1.66829   3.94396    -2.364

May 10 17:19 [GB6J141212+062408_spect.fits]: 
avg:       1.97  rms:     0.2594   snr:     7.59
avg:      1.968  rms:     0.2557   snr:     7.70
avg:      1.992  rms:     0.2515   snr:     7.92
avg:      1.967  rms:     0.2405   snr:     8.18
avg:      1.978  rms:     0.2517   snr:     7.86

May 10 17:22 [GB6J143023+420450_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8783.087  1.681152   12.9162    -7.683    1.7896      6.78        0.
  8836.759 -0.279067   1590.98     INDEF   2.63915     566.3        0.
  10208.04  3.164691  -6316.04     1996.  -1.45509     4078.        0.
  8659.843   1.88332  -12.1606     6.457  -1.72895     6.608        0.
  8830.108   1.69228   162.428    -95.98  0.690995     220.8        0.
  8783.438  1.811974   11.9477    -6.594   1.29749     8.651        0.
  8783.347  1.874006   10.4063    -5.553   1.30009      7.52        0.
  8783.455  1.812998   11.9229    -6.576   1.29755     8.632        0.
  8809.291  1.126182   467.376     -415.   1.24379      353.        0.
   8659.61  1.871788   -12.565     6.713  -1.42509     8.283        0.
  8659.559  1.981462  -14.8455     7.492  -1.49137     9.351        0.
  8783.202  2.064208   7.43291    -3.601   1.17764     5.929        0.
  8792.437  1.295929   522.229     -403.   1.02006      481.        0.

May 10 17:24 [GB6J143023+420450_spect.fits]: 
   8784.12  -0.45602   2544.78     INDEF   2.77897     860.3        0.
  8659.462  1.951279   -14.453     7.407  -1.20568     11.26        0.
  8837.669 0.4875343   1244.97    -2554.   1.79001     653.4        0.
  8841.188  1.190633   487.461    -409.4   1.15557     396.3        0.
  8659.481  1.868985  -12.4657      6.67  -1.14764      10.2        0.

May 10 17:26 [GB6J143023+420450_spect.fits]: 
  8838.386  1.119234   667.854    -596.7     1.189     527.7        0.
  8782.656   1.97878   8.73566    -4.415   1.74282     4.709        0.
  8782.912  1.679584   12.8732    -7.664   1.90332     6.354        0.
  8851.146  0.785376    804.89    -1025.    1.5441     489.7        0.
  8782.742  1.756453   11.6015    -6.605   1.88595     5.779        0.

May 10 17:31 [GB6J001115+144608_spect.fits]: 
  9164.595  6.161768   344.778    -55.95   1.51055     214.4        0.
  198.5925  6.172567    11160.    -1808.   1.49528     7012.        0.

May 10 17:39 [GB6J143023+420450_spect.fits]: 
  8783.805  2.106948   7.10561    -3.372  0.731898      9.12        0.
  8879.104  1.878682   107.768    -57.36  0.399841     253.2        0.
  8783.811  2.152524   6.12591    -2.846  0.712198      8.08        0.
  8797.838  1.205525   628.896    -521.7   1.11184     531.4        0.
  8835.497  1.505149   370.309     -246.  0.802806     433.3        0.
  8805.666  1.808508   214.198    -118.4  0.501132     401.5        0.

May 10 17:42 [GB6J143023+420450_spect.fits]: 
  8839.062  1.874168   142.418    -75.99  0.429026     311.9        0.
  8820.653  1.659929   269.021    -162.1  0.657987     384.1        0.
  8846.667  1.900286   125.933    -66.27  0.397851     297.4        0.
avg:       2.17  rms:     0.1843   snr:    11.77
avg:      2.155  rms:     0.2431   snr:     8.86
avg:      2.159  rms:     0.2356   snr:     9.16
avg:      2.152  rms:      0.236   snr:     9.12
avg:      2.137  rms:     0.2221   snr:     9.62

May 10 18:01 [GB6J153533+025419_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8217.441  1.132694    101.91    -89.97  0.310142     308.7        0.
  8292.061  1.067701   49.2498    -46.13  0.188421     245.6        0.
  8193.344  1.093049   65.0931    -59.55  0.243685     250.9        0.

May 10 18:07 [GB6J153533+025419_spect.fits]: 

May 10 18:07 [GB6J153533+025419_spect.fits]: 
  8211.616  1.149666   83.5257    -72.65  0.324051     242.1        0.
   8213.83  1.139646   87.9477    -77.17  0.333384     247.8        0.
   8255.53  1.219105   48.7211    -39.96  0.260653     175.6        0.
  8234.293  1.132059   95.6382    -84.48   0.33076     271.6        0.

May 10 18:10 [GB6J153533+025419_spect.fits]: 
   8249.11   1.07482   108.846    -101.3  0.396933     257.6        0.
  7663.938  1.342159   459.696    -342.5  0.415789     1039.        0.

May 10 18:12 [GB6J153533+025419_spect.fits]: 
  8274.396   1.16182   2294.25    -1975.  0.169743    12697.        0.
  8243.645  1.275802   31.8012    -24.93  0.220744     135.3        0.
  8235.388  1.243043   42.9778    -34.57  0.249034     162.1        0.
  8227.512  1.211727   53.6216    -44.25  0.278739     180.7        0.
avg:      1.383  rms:     0.2118   snr:     6.53
avg:      1.382  rms:     0.1982   snr:     6.97
avg:      1.381  rms:     0.2102   snr:     6.57
avg:      1.395  rms:     0.2193   snr:     6.36

May 10 18:18 [GB6J162956+095959_spect.fits[*,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   9214.09 6.025E-18 4.703E-16    -78.06 2.761E-18      160.        0.

May 10 18:19 [GB6J162956+095959_spect.fits[*,1]]: 
  9217.839 5.362E-18 6.868E-16    -128.1 3.359E-18     192.1        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9216.343 5.685E-18 6.017E-16    -105.8 2.976E-18     189.9        0.

May 10 18:21 [GB6J162956+095959_spect.fits[*,1]]: 
avg:  8.088E-18  rms:  1.187E-18   snr:     6.81
avg:  8.198E-18  rms:  1.142E-18   snr:     7.18
avg:  8.272E-18  rms:  1.182E-18   snr:     7.00
avg:  8.270E-18  rms:  1.022E-18   snr:     8.09
avg:  8.194E-18  rms:  1.208E-18   snr:     6.78
avg:  8.158E-18  rms:  1.444E-18   snr:     5.65
avg:  8.139E-18  rms:  1.119E-18   snr:     7.28
avg:  8.067E-18  rms:  1.217E-18   snr:     6.63
avg:  8.178E-18  rms:  1.120E-18   snr:     7.30

May 10 18:24 [GB6J235758+140205_spect.fits[*,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8083.425 1.013E-17 2.195E-15    -216.6 5.752E-18     358.5        0.
  8055.047 1.189E-17 1.943E-15    -163.4 4.060E-18     449.5        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8071.385 1.242E-17 1.195E-15    -96.24 3.221E-18     348.5        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8140.109 1.069E-17 1.801E-15    -168.5 6.731E-18     251.3        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8135.486 1.328E-17 8.255E-16    -62.17 4.103E-18      189.        0.

May 10 18:29 [GB6J235758+140205_spect.fits[*,1]]: 
avg:  1.512E-17  rms:  1.801E-18   snr:     8.40
avg:  1.512E-17  rms:  1.799E-18   snr:     8.40
avg:  1.477E-17  rms:  1.835E-18   snr:     8.05
avg:  1.499E-17  rms:  1.822E-18   snr:     8.23

May 10 18:32 [GB6J164856+460341_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9852.048 5.118E-18 8.224E-16    -160.7 4.835E-18     159.8        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9845.009 6.922E-18 3.506E-16    -50.65 3.287E-18     100.2        0.
  9857.057 5.585E-18 6.856E-16    -122.8 4.358E-18     147.8        0.
avg:  8.671E-18  rms:  1.110E-18   snr:     7.81
avg:  8.924E-18  rms:  1.557E-18   snr:     5.73
avg:  8.959E-18  rms:  1.381E-18   snr:     6.49
avg:  9.110E-18  rms:  1.799E-18   snr:     5.06
avg:  8.674E-18  rms:  8.375E-19   snr:    10.36
